"","src_subject_id","eventname","reshist_addr1_adi_wsum","reshist_addr1_adi_perc"
"5297","NDAR_INVF9XMG0N0","baseline_year_1_arm_1",109.7425,62
"5298","NDAR_INVFB646F8R","baseline_year_1_arm_1",113.58888,77
"5299","NDAR_INVFB9M4ZBX","baseline_year_1_arm_1",104.7368,46
"5300","NDAR_INVF4NKLBXV","baseline_year_1_arm_1",88.4224,20
"5301","NDAR_INVF4P23JMZ","baseline_year_1_arm_1",92.094894,24
"5302","NDAR_INVF74AJ43P","baseline_year_1_arm_1",NA,NA
"5303","NDAR_INVF76ZR3W2","baseline_year_1_arm_1",91.97592,24
"5304","NDAR_INVF9XWPX7P","baseline_year_1_arm_1",118.914696,95
"5305","NDAR_INVFBD5A7P9","baseline_year_1_arm_1",117.58586,91
"5306","NDAR_INVFBE9UXHG","baseline_year_1_arm_1",92.05753,24
"5307","NDAR_INVF4PLLUF8","baseline_year_1_arm_1",123.29969,100
"5308","NDAR_INVF4Z1R5WK","baseline_year_1_arm_1",80.45381,14
"5309","NDAR_INVF79B3KEU","baseline_year_1_arm_1",92.702095,25
"5310","NDAR_INVF7AUUWC6","baseline_year_1_arm_1",54.535156,5
"5311","NDAR_INVF9ZWE4J9","baseline_year_1_arm_1",110.78391,66
"5312","NDAR_INVFA0DV854","baseline_year_1_arm_1",92.66264,25
"5313","NDAR_INVFBEG8E1Z","baseline_year_1_arm_1",NA,NA
"5314","NDAR_INVFBHD500G","baseline_year_1_arm_1",96.93185,31
"5315","NDAR_INVFBKHE2PK","baseline_year_1_arm_1",107.73108,55
"5316","NDAR_INVF504BFVB","baseline_year_1_arm_1",72.65681,9
"5317","NDAR_INVF53AN12Z","baseline_year_1_arm_1",96.07873,29
"5318","NDAR_INVF7E957WL","baseline_year_1_arm_1",114.61935,81
"5319","NDAR_INVF7F6URTR","baseline_year_1_arm_1",110.16009,64
"5320","NDAR_INVF1W2BTPZ","baseline_year_1_arm_1",103.49942,43
"5321","NDAR_INVF1XKPBT6","baseline_year_1_arm_1",80.63474,14
"5322","NDAR_INVER3Y13P5","baseline_year_1_arm_1",117.223045,90
"5323","NDAR_INVER4M9TW3","baseline_year_1_arm_1",102.11314,40
"5324","NDAR_INVEV2TLTFZ","baseline_year_1_arm_1",78.23447,12
"5325","NDAR_INVEV4ZUKCU","baseline_year_1_arm_1",82.1736,15
"5326","NDAR_INVEV8YYACG","baseline_year_1_arm_1",96.22446,30
"5327","NDAR_INVEYKTM50X","baseline_year_1_arm_1",77.34408,12
"5328","NDAR_INVEYLZ9J7D","baseline_year_1_arm_1",110.667854,65
"5329","NDAR_INVF20K5ZNE","baseline_year_1_arm_1",113.13899,75
"5330","NDAR_INVF26CU0X0","baseline_year_1_arm_1",116.509995,88
"5331","NDAR_INVERCR7XYW","baseline_year_1_arm_1",98.24757,33
"5332","NDAR_INVERNB4DT2","baseline_year_1_arm_1",114.69506,81
"5333","NDAR_INVERNFXT89","baseline_year_1_arm_1",103.15831,42
"5334","NDAR_INVEVC26KZ4","baseline_year_1_arm_1",68.17204,8
"5335","NDAR_INVEVFG8LC1","baseline_year_1_arm_1",108.069885,57
"5336","NDAR_INVEYTXWY7X","baseline_year_1_arm_1",80.45381,14
"5337","NDAR_INVEYXZ3PDP","baseline_year_1_arm_1",96.22446,30
"5338","NDAR_INVEZ910AGY","baseline_year_1_arm_1",109.83801,62
"5339","NDAR_INVF28KN8WU","baseline_year_1_arm_1",93.075935,25
"5340","NDAR_INVF2BU99TZ","baseline_year_1_arm_1",112.36155,72
"5341","NDAR_INVERTEM0DZ","baseline_year_1_arm_1",107.47171,55
"5342","NDAR_INVERU8ZJKV","baseline_year_1_arm_1",93.156044,25
"5343","NDAR_INVEVGNLB2Y","baseline_year_1_arm_1",105.65905,49
