"","src_subject_id","eventname","reshist_addr1_svi_tot_20142018"
"90","NDAR_INV08DNLREC","baseline_year_1_arm_1",0.1705
"91","NDAR_INV08EFDKZ6","baseline_year_1_arm_1",0.4573
"92","NDAR_INV08FUB58A","baseline_year_1_arm_1",0.8631
"93","NDAR_INV08GBDG8X","baseline_year_1_arm_1",0.0964
"94","NDAR_INV08J0E48V","baseline_year_1_arm_1",0.5978
"95","NDAR_INV08K0R9C4","baseline_year_1_arm_1",0.3069
"96","NDAR_INV08K8VF33","baseline_year_1_arm_1",NA
"97","NDAR_INV08P1JKNE","baseline_year_1_arm_1",0.2747
"98","NDAR_INV08P3GNDV","baseline_year_1_arm_1",0.5874
"99","NDAR_INV08R2PTT1","baseline_year_1_arm_1",0.0801
"100","NDAR_INV08UNGWZK","baseline_year_1_arm_1",0.1703
"101","NDAR_INV086U18RD","baseline_year_1_arm_1",0.2947
"102","NDAR_INV08894886","baseline_year_1_arm_1",0.7189
"103","NDAR_INV0889M0JE","baseline_year_1_arm_1",0.2757
"104","NDAR_INV08AT7TLH","baseline_year_1_arm_1",0.6701
"105","NDAR_INV08WDFUCE","baseline_year_1_arm_1",0.482
"106","NDAR_INV097LUBWX","baseline_year_1_arm_1",0.982
"107","NDAR_INV098DVK8B","baseline_year_1_arm_1",0.5563
"108","NDAR_INV09AEBLZH","baseline_year_1_arm_1",0.4111
"109","NDAR_INV09AKV10T","baseline_year_1_arm_1",0.5434
"110","NDAR_INV09AUXBBT","baseline_year_1_arm_1",0.1506
"111","NDAR_INV09N9CRAL","baseline_year_1_arm_1",0.5748
"112","NDAR_INV09T2EBX4","baseline_year_1_arm_1",0.3727
"113","NDAR_INV09VBPCLU","baseline_year_1_arm_1",0.131
"114","NDAR_INV0A4P0LWM","baseline_year_1_arm_1",0.0145
"115","NDAR_INV0A4ZDYNL","baseline_year_1_arm_1",0.0768
"116","NDAR_INV0A6WVRZY","baseline_year_1_arm_1",0.7294
"117","NDAR_INV08YFFYY2","baseline_year_1_arm_1",0.7775
"118","NDAR_INV08YLBTNH","baseline_year_1_arm_1",0.0676
"119","NDAR_INV094UXV0J","baseline_year_1_arm_1",0.9807
"120","NDAR_INV095EVLDD","baseline_year_1_arm_1",0.8107
